Empresa;Dt. Fechamento;Cód. Item;Descrição; Estoque de Abertura ; Vol. Recebido ; Vol. Disponível ; Vol. Total das Saídas ; Estoque Escritural ; Vl. Perda ; Vl. Ganho ; Estoque de Fechamento ; [1310] Tanque ; [1310] Estoque de Abertura ; [1310] Vol. Recebido ; [1310] Vol. Disponível ; [1310] Vol. Total das Saídas ; [1310] Estoque Escritural ; [1310] Vl. Perda ; [1310] Vl. Ganho ; [1310] Vol. Aferido 
POSTO TESTE - Matriz;28/01/2019;782;DIESEL B S10 COMUM;2.390,00; -   ;2.390,00;679,19;1.710,81; -   ;4,19;1.715,00;6;2.390,00; -   ;2.390,00;679,19;1.710,81; -   ;4,19;1.715,00
POSTO TESTE - Matriz;29/01/2019;1;GASOLINA COMUM;8.300,00;5.000,00;13.300,00;1.037,62;12.262,38; -   ;57,62;12.320,00;3;8.300,00;5.000,00;13.300,00;1.037,62;12.262,38; -   ;57,62;12.320,00
POSTO TESTE - Matriz;29/01/2019;2;GASOLINA ADITIVADA;4.750,00; -   ;4.750,00;1.635,98;3.114,02; -   ;19,98;3.134,00;1;4.750,00; -   ;4.750,00;1.635,98;3.114,02; -   ;19,98;3.134,00
POSTO TESTE - Matriz;29/01/2019;3;ETANOL COMUM;5.069,00; -   ;5.069,00;1.977,72;3.091,28;1,28; -   ;3.090,00;2;5.069,00; -   ;5.069,00;1.977,72;3.091,28;1,28; -   ;3.090,00
POSTO TESTE - Matriz;29/01/2019;782;DIESEL B S10 COMUM;1.715,00;5.000,00;6.715,00;585,86;6.129,14; -   ;0,86;6.130,00;6;1.715,00;5.000,00;6.715,00;585,86;6.129,14; -   ;0,86;6.130,00
POSTO TESTE - Matriz;30/01/2019;1;GASOLINA COMUM;12.320,00; -   ;12.320,00;2.551,96;9.768,04; -   ;30,96;9.799,00;3;12.320,00; -   ;12.320,00;2.551,96;9.768,04; -   ;30,96;9.799,00
POSTO TESTE - Matriz;30/01/2019;2;GASOLINA ADITIVADA;3.134,00;5.000,00;8.134,00;746,39;7.387,61;17,61; -   ;7.370,00;1;3.134,00;5.000,00;8.134,00;746,39;7.387,61;17,61; -   ;7.370,00
POSTO TESTE - Matriz;30/01/2019;3;ETANOL COMUM;3.090,00;5.000,00;8.090,00;1.124,56;6.965,44; -   ;23,56;6.989,00;2;3.090,00;5.000,00;8.090,00;1.124,56;6.965,44; -   ;23,56;6.989,00
POSTO TESTE - Matriz;30/01/2019;782;DIESEL B S10 COMUM;6.130,00; -   ;6.130,00;561,88;5.568,12;17,12; -   ;5.551,00;6;6.130,00; -   ;6.130,00;561,88;5.568,12;17,12; -   ;5.551,00
POSTO TESTE - Matriz;31/01/2019;1;GASOLINA COMUM;9.799,00;10.000,00;19.799,00;3.321,24;16.477,76; -   ;69,24;16.547,00;3;9.799,00;10.000,00;19.799,00;3.321,24;16.477,76; -   ;69,24;16.547,00
POSTO TESTE - Matriz;31/01/2019;2;GASOLINA ADITIVADA;7.370,00; -   ;7.370,00;709,56;6.660,44;23,44; -   ;6.637,00;1;7.370,00; -   ;7.370,00;709,56;6.660,44;23,44; -   ;6.637,00
POSTO TESTE - Matriz;31/01/2019;3;ETANOL COMUM;6.989,00; -   ;6.989,00;1.578,98;5.410,02;20,02; -   ;5.390,00;2;6.989,00; -   ;6.989,00;1.578,98;5.410,02;20,02; -   ;5.390,00
POSTO TESTE - Matriz;31/01/2019;782;DIESEL B S10 COMUM;5.551,00; -   ;5.551,00;396,44;5.154,56;1,56; -   ;5.153,00;6;5.551,00; -   ;5.551,00;396,44;5.154,56;1,56; -   ;5.153,00
POSTO TESTE - Matriz;01/02/2019;1;GASOLINA COMUM;16.547,00; -   ;16.547,00;4.699,34;11.847,66;10,66; -   ;11.837,00;3;16.547,00; -   ;16.547,00;4.699,34;11.847,66;10,66; -   ;11.837,00
POSTO TESTE - Matriz;01/02/2019;2;GASOLINA ADITIVADA;6.637,00; -   ;6.637,00;856,73;5.780,27;25,27; -   ;5.755,00;1;6.637,00; -   ;6.637,00;856,73;5.780,27;25,27; -   ;5.755,00
POSTO TESTE - Matriz;01/02/2019;3;ETANOL COMUM;5.390,00; -   ;5.390,00;2.150,95;3.239,05;9,05; -   ;3.230,00;2;5.390,00; -   ;5.390,00;2.150,95;3.239,05;9,05; -   ;3.230,00
POSTO TESTE - Matriz;01/02/2019;782;DIESEL B S10 COMUM;5.153,00; -   ;5.153,00;297,78;4.855,22;16,22; -   ;4.839,00;6;5.153,00; -   ;5.153,00;297,78;4.855,22;16,22; -   ;4.839,00
POSTO TESTE - Matriz;02/02/2019;1;GASOLINA COMUM;11.837,00; -   ;11.837,00;3.414,67;8.422,33;2,33; -   ;8.420,00;3;11.837,00; -   ;11.837,00;3.414,67;8.422,33;2,33; -   ;8.420,00
POSTO TESTE - Matriz;02/02/2019;2;GASOLINA ADITIVADA;5.755,00; -   ;5.755,00;637,23;5.117,77; -   ;12,23;5.130,00;1;5.755,00; -   ;5.755,00;637,23;5.117,77; -   ;12,23;5.130,00
POSTO TESTE - Matriz;02/02/2019;3;ETANOL COMUM;3.230,00; -   ;3.230,00;1.618,08;1.611,92; -   ;9,08;1.621,00;2;3.230,00; -   ;3.230,00;1.618,08;1.611,92; -   ;9,08;1.621,00
POSTO TESTE - Matriz;02/02/2019;782;DIESEL B S10 COMUM;4.839,00; -   ;4.839,00;334,46;4.504,54;5,54; -   ;4.499,00;6;4.839,00; -   ;4.839,00;334,46;4.504,54;5,54; -   ;4.499,00
POSTO TESTE - Matriz;03/02/2019;1;GASOLINA COMUM;8.420,00; -   ;8.420,00;2.600,92;5.819,08;19,08; -   ;5.800,00;3;8.420,00; -   ;8.420,00;2.600,92;5.819,08;19,08; -   ;5.800,00
POSTO TESTE - Matriz;03/02/2019;2;GASOLINA ADITIVADA;5.130,00;5.000,00;10.130,00;653,52;9.476,48;6,48; -   ;9.470,00;1;5.130,00;5.000,00;10.130,00;653,52;9.476,48;6,48; -   ;9.470,00
POSTO TESTE - Matriz;03/02/2019;3;ETANOL COMUM;1.621,00;5.000,00;6.621,00;1.623,21;4.997,79;2,79; -   ;4.995,00;2;1.621,00;5.000,00;6.621,00;1.623,21;4.997,79;2,79; -   ;4.995,00
POSTO TESTE - Matriz;03/02/2019;782;DIESEL B S10 COMUM;4.499,00; -   ;4.499,00;48,26;4.450,74; -   ;3,26;4.454,00;6;4.499,00; -   ;4.499,00;48,26;4.450,74; -   ;3,26;4.454,00
POSTO TESTE - Matriz;04/02/2019;1;GASOLINA COMUM;5.800,00;10.000,00;15.800,00;3.651,68;12.148,32;30,32; -   ;12.118,00;3;5.800,00;10.000,00;15.800,00;3.651,68;12.148,32;30,32; -   ;12.118,00
POSTO TESTE - Matriz;04/02/2019;2;GASOLINA ADITIVADA;9.470,00; -   ;9.470,00;889,5;8.580,50;0,5; -   ;8.580,00;1;9.470,00; -   ;9.470,00;889,5;8.580,50;0,5; -   ;8.580,00
POSTO TESTE - Matriz;04/02/2019;3;ETANOL COMUM;4.995,00; -   ;4.995,00;1.515,42;3.479,58;0,58; -   ;3.479,00;2;4.995,00; -   ;4.995,00;1.515,42;3.479,58;0,58; -   ;3.479,00
POSTO TESTE - Matriz;04/02/2019;782;DIESEL B S10 COMUM;4.454,00; -   ;4.454,00;448,07;4.005,93;16,93; -   ;3.989,00;6;4.454,00; -   ;4.454,00;448,07;4.005,93;16,93; -   ;3.989,00
POSTO TESTE - Matriz;05/02/2019;1;GASOLINA COMUM;12.118,00; -   ;12.118,00;3.364,85;8.753,15; -   ;4,85;8.758,00;3;12.118,00; -   ;12.118,00;3.364,85;8.753,15; -   ;4,85;8.758,00
POSTO TESTE - Matriz;05/02/2019;2;GASOLINA ADITIVADA;8.580,00; -   ;8.580,00;1.180,78;7.399,22;4,22; -   ;7.395,00;1;8.580,00; -   ;8.580,00;1.180,78;7.399,22;4,22; -   ;7.395,00
POSTO TESTE - Matriz;05/02/2019;3;ETANOL COMUM;3.479,00; -   ;3.479,00;1.819,76;1.659,24; -   ;3,76;1.663,00;2;3.479,00; -   ;3.479,00;1.819,76;1.659,24; -   ;3,76;1.663,00
POSTO TESTE - Matriz;05/02/2019;782;DIESEL B S10 COMUM;3.989,00; -   ;3.989,00;602,32;3.386,68;5,68; -   ;3.381,00;6;3.989,00; -   ;3.989,00;602,32;3.386,68;5,68; -   ;3.381,00
POSTO TESTE - Matriz;06/02/2019;1;GASOLINA COMUM;8.758,00;5.000,00;13.758,00;2.653,85;11.104,15; -   ;5,85;11.110,00;3;8.758,00;5.000,00;13.758,00;2.653,85;11.104,15; -   ;5,85;11.110,00
POSTO TESTE - Matriz;06/02/2019;2;GASOLINA ADITIVADA;7.395,00; -   ;7.395,00;1.519,26;5.875,74;5,74; -   ;5.870,00;1;7.395,00; -   ;7.395,00;1.519,26;5.875,74;5,74; -   ;5.870,00
POSTO TESTE - Matriz;06/02/2019;3;ETANOL COMUM;1.663,00;5.000,00;6.663,00;2.010,14;4.652,86; -   ;17,14;4.670,00;2;1.663,00;5.000,00;6.663,00;2.010,14;4.652,86; -   ;17,14;4.670,00
POSTO TESTE - Matriz;06/02/2019;782;DIESEL B S10 COMUM;3.381,00; -   ;3.381,00;852,95;2.528,05;13,05; -   ;2.515,00;6;3.381,00; -   ;3.381,00;852,95;2.528,05;13,05; -   ;2.515,00
POSTO TESTE - Matriz;07/02/2019;1;GASOLINA COMUM;11.110,00;5.000,00;16.110,00;3.391,69;12.718,31;41,31; -   ;12.677,00;3;11.110,00;5.000,00;16.110,00;3.391,69;12.718,31;41,31; -   ;12.677,00
POSTO TESTE - Matriz;07/02/2019;2;GASOLINA ADITIVADA;5.870,00; -   ;5.870,00;1.115,34;4.754,66;15,66; -   ;4.739,00;1;5.870,00; -   ;5.870,00;1.115,34;4.754,66;15,66; -   ;4.739,00
POSTO TESTE - Matriz;07/02/2019;3;ETANOL COMUM;4.670,00;5.000,00;9.670,00;1.897,92;7.772,08; -   ;7,92;7.780,00;2;4.670,00;5.000,00;9.670,00;1.897,92;7.772,08; -   ;7,92;7.780,00
POSTO TESTE - Matriz;07/02/2019;782;DIESEL B S10 COMUM;2.515,00; -   ;2.515,00;714,9;1.800,10;9,1; -   ;1.791,00;6;2.515,00; -   ;2.515,00;714,9;1.800,10;9,1; -   ;1.791,00
POSTO TESTE - Matriz;08/02/2019;1;GASOLINA COMUM;12.677,00; -   ;12.677,00;3.791,33;8.885,67;22,67; -   ;8.863,00;3;12.677,00; -   ;12.677,00;3.791,33;8.885,67;22,67; -   ;8.863,00
POSTO TESTE - Matriz;08/02/2019;2;GASOLINA ADITIVADA;4.739,00; -   ;4.739,00;1.409,81;3.329,19; -   ;13,81;3.343,00;1;4.739,00; -   ;4.739,00;1.409,81;3.329,19; -   ;13,81;3.343,00
POSTO TESTE - Matriz;08/02/2019;3;ETANOL COMUM;7.780,00; -   ;7.780,00;1.999,24;5.780,76;12,758; -   ;5.768,00;2;7.780,00; -   ;7.780,00;1.999,24;5.780,76;12,758; -   ;5.768,00
POSTO TESTE - Matriz;08/02/2019;782;DIESEL B S10 COMUM;1.791,00; -   ;1.791,00;545,069;1.245,93;5,93; -   ;1.240,00;6;1.791,00; -   ;1.791,00;545,069;1.245,93;5,93; -   ;1.240,00
POSTO TESTE - Matriz;09/02/2019;1;GASOLINA COMUM;8.863,00;5.000,00;13.863,00;2.335,98;11.527,02;7,02; -   ;11.520,00;3;8.863,00;5.000,00;13.863,00;2.335,98;11.527,02;7,02; -   ;11.520,00
POSTO TESTE - Matriz;09/02/2019;2;GASOLINA ADITIVADA;3.343,00;5.000,00;8.343,00;1.553,40;6.789,60; -   ;0,4;6.790,00;1;3.343,00;5.000,00;8.343,00;1.553,40;6.789,60; -   ;0,4;6.790,00
POSTO TESTE - Matriz;09/02/2019;3;ETANOL COMUM;5.768,00; -   ;5.768,00;2.201,37;3.566,63;6,63; -   ;3.560,00;2;5.768,00; -   ;5.768,00;2.201,37;3.566,63;6,63; -   ;3.560,00
POSTO TESTE - Matriz;09/02/2019;782;DIESEL B S10 COMUM;1.240,00;5.000,00;6.240,00;582,91;5.657,09; -   ;4,91;5.662,00;6;1.240,00;5.000,00;6.240,00;582,91;5.657,09; -   ;4,91;5.662,00
POSTO TESTE - Matriz;10/02/2019;1;GASOLINA COMUM;11.520,00; -   ;11.520,00;2.224,14;9.295,86;18,86; -   ;9.277,00;3;11.520,00; -   ;11.520,00;2.224,14;9.295,86;18,86; -   ;9.277,00
POSTO TESTE - Matriz;10/02/2019;2;GASOLINA ADITIVADA;6.790,00; -   ;6.790,00;1.003,77;5.786,23;6,23; -   ;5.780,00;1;6.790,00; -   ;6.790,00;1.003,77;5.786,23;6,23; -   ;5.780,00
POSTO TESTE - Matriz;10/02/2019;3;ETANOL COMUM;3.560,00; -   ;3.560,00;1.617,89;1.942,11;1,11; -   ;1.941,00;2;3.560,00; -   ;3.560,00;1.617,89;1.942,11;1,11; -   ;1.941,00
POSTO TESTE - Matriz;10/02/2019;782;DIESEL B S10 COMUM;5.662,00; -   ;5.662,00;307,18;5.354,82;4,82; -   ;5.350,00;6;5.662,00; -   ;5.662,00;307,18;5.354,82;4,82; -   ;5.350,00
POSTO TESTE - Matriz;11/02/2019;1;GASOLINA COMUM;9.277,00;5.000,00;14.277,00;4.065,09;10.211,91; -   ;28,91;10.183,00;3;9.277,00;5.000,00;14.277,00;4.065,09;10.211,91; -   ;28,91;10.183,00
POSTO TESTE - Matriz;11/02/2019;2;GASOLINA ADITIVADA;5.780,00; -   ;5.780,00;988,2;4.791,80; -   ;17,2;4.809,00;1;5.780,00; -   ;5.780,00;988,2;4.791,80; -   ;17,2;4.809,00
POSTO TESTE - Matriz;11/02/2019;3;ETANOL COMUM;1.941,00;5.000,00;6.941,00;1.887,87;5.053,13; -   ;7,87;5.061,00;2;1.941,00;5.000,00;6.941,00;1.887,87;5.053,13; -   ;7,87;5.061,00
POSTO TESTE - Matriz;11/02/2019;782;DIESEL B S10 COMUM;5.350,00; -   ;5.350,00;493,49;4.856,51;6,51; -   ;4.850,00;6;5.350,00; -   ;5.350,00;493,49;4.856,51;6,51; -   ;4.850,00
POSTO TESTE - Matriz;12/02/2019;1;GASOLINA COMUM;10.183,00;5.000,00;15.183,00;2.940,02;12.242,98; -   ;51,02;12.294,00;3;10.183,00;5.000,00;15.183,00;2.940,02;12.242,98; -   ;51,02;12.294,00
POSTO TESTE - Matriz;12/02/2019;2;GASOLINA ADITIVADA;4.809,00;5.000,00;9.809,00;1.033,49;8.775,51; -   ;0,49;8.776,00;1;4.809,00;5.000,00;9.809,00;1.033,49;8.775,51; -   ;0,49;8.776,00
POSTO TESTE - Matriz;12/02/2019;3;ETANOL COMUM;5.061,00; -   ;5.061,00;1.670,82;3.390,18;10,18; -   ;3.380,00;2;5.061,00; -   ;5.061,00;1.670,82;3.390,18;10,18; -   ;3.380,00
POSTO TESTE - Matriz;12/02/2019;782;DIESEL B S10 COMUM;4.850,00; -   ;4.850,00;393,5;4.456,50;1,5; -   ;4.455,00;6;4.850,00; -   ;4.850,00;393,5;4.456,50;1,5; -   ;4.455,00
POSTO TESTE - Matriz;13/02/2019;1;GASOLINA COMUM;12.294,00;5.000,00;17.294,00;2.415,98;14.878,02; -   ;21,98;14.900,00;3;12.294,00;5.000,00;17.294,00;2.415,98;14.878,02; -   ;21,98;14.900,00
POSTO TESTE - Matriz;13/02/2019;2;GASOLINA ADITIVADA;8.776,00; -   ;8.776,00;1.692,34;7.083,66; -   ;26,34;7.110,00;1;8.776,00; -   ;8.776,00;1.692,34;7.083,66; -   ;26,34;7.110,00
POSTO TESTE - Matriz;13/02/2019;3;ETANOL COMUM;3.380,00;5.000,00;8.380,00;1.387,26;6.992,74; -   ;6,26;6.999,00;2;3.380,00;5.000,00;8.380,00;1.387,26;6.992,74; -   ;6,26;6.999,00
POSTO TESTE - Matriz;13/02/2019;782;DIESEL B S10 COMUM;4.455,00; -   ;4.455,00;425,24;4.029,76; -   ;0,24;4.030,00;6;4.455,00; -   ;4.455,00;425,24;4.029,76; -   ;0,24;4.030,00
POSTO TESTE - Matriz;14/02/2019;1;GASOLINA COMUM;14.900,00;5.000,00;19.900,00;3.264,76;16.635,24; -   ;34,76;16.670,00;3;14.900,00;5.000,00;19.900,00;3.264,76;16.635,24; -   ;34,76;16.670,00
POSTO TESTE - Matriz;14/02/2019;2;GASOLINA ADITIVADA;7.110,00;5.000,00;12.110,00;1.312,13;10.797,87; -   ;3,13;10.801,00;1;7.110,00;5.000,00;12.110,00;1.312,13;10.797,87; -   ;3,13;10.801,00
POSTO TESTE - Matriz;14/02/2019;3;ETANOL COMUM;6.999,00; -   ;6.999,00;1.596,31;5.402,69;2,69; -   ;5.400,00;2;6.999,00; -   ;6.999,00;1.596,31;5.402,69;2,69; -   ;5.400,00
POSTO TESTE - Matriz;14/02/2019;782;DIESEL B S10 COMUM;4.030,00; -   ;4.030,00;705,01;3.324,99; -   ;10,01;3.335,00;6;4.030,00; -   ;4.030,00;705,01;3.324,99; -   ;10,01;3.335,00
POSTO TESTE - Matriz;15/02/2019;1;GASOLINA COMUM;16.670,00; -   ;16.670,00;3.648,87;13.021,13;10,13; -   ;13.011,00;3;16.670,00; -   ;16.670,00;3.648,87;13.021,13;10,13; -   ;13.011,00
POSTO TESTE - Matriz;17/02/2019;2;GASOLINA ADITIVADA;7.910,00; -   ;7.910,00;654,361;7.255,64;5,639; -   ;7.250,00;1;7.910,00; -   ;7.910,00;654,361;7.255,64;5,639; -   ;7.250,00
POSTO TESTE - Matriz;17/02/2019;3;ETANOL COMUM;6.450,00; -   ;6.450,00;912,653;5.537,35; -   ;24,653;5.562,00;2;6.450,00; -   ;6.450,00;912,653;5.537,35; -   ;24,653;5.562,00
POSTO TESTE - Matriz;17/02/2019;782;DIESEL B S10 COMUM;2.210,00; -   ;2.210,00;142,4;2.067,60;2,6; -   ;2.065,00;6;2.210,00; -   ;2.210,00;142,4;2.067,60;2,6; -   ;2.065,00
POSTO TESTE - Matriz;18/02/2019;1;GASOLINA COMUM;12.863,00; -   ;12.863,00;3.870,78;8.992,22;2,22; -   ;8.970,00;3;12.863,00; -   ;12.863,00;3.870,78;8.992,22;2,22; -   ;8.970,00
POSTO TESTE - Matriz;18/02/2019;2;GASOLINA ADITIVADA;7.250,00; -   ;7.250,00;875,179;6.374,82;4,21; -   ;6.370,00;1;7.250,00; -   ;7.250,00;875,179;6.374,82;4,21; -   ;6.370,00
POSTO TESTE - Matriz;18/02/2019;3;ETANOL COMUM;5.562,00;5.000,00;10.562,00;1.644,60;8.917,40; -   ;29,6;8.947,00;2;5.562,00;5.000,00;10.562,00;1.644,60;8.917,40; -   ;29,6;8.947,00
POSTO TESTE - Matriz;18/02/2019;782;DIESEL B S10 COMUM;2.065,00;5.000,00;7.065,00;836,35;6.228,65; -   ;24,35;6.253,00;6;2.065,00;5.000,00;7.065,00;836,35;6.228,65; -   ;24,35;6.253,00
POSTO TESTE - Matriz;19/02/2019;1;GASOLINA COMUM;8.970,00; -   ;8.970,00;3.353,41;5.616,59;6,59; -   ;5.610,00;3;8.970,00; -   ;8.970,00;3.353,41;5.616,59;6,59; -   ;5.610,00
POSTO TESTE - Matriz;19/02/2019;2;GASOLINA ADITIVADA;6.370,00; -   ;6.370,00;1.024,38;5.345,62;0,62; -   ;5.345,00;1;6.370,00; -   ;6.370,00;1.024,38;5.345,62;0,62; -   ;5.345,00
POSTO TESTE - Matriz;19/02/2019;3;ETANOL COMUM;8.947,00; -   ;8.947,00;1.744,26;7.202,74;2,74; -   ;7.200,00;2;8.947,00; -   ;8.947,00;1.744,26;7.202,74;2,74; -   ;7.200,00
POSTO TESTE - Matriz;19/02/2019;782;DIESEL B S10 COMUM;6.253,00; -   ;6.253,00;337,67;5.915,33; -   ;8,67;5.924,00;6;6.253,00; -   ;6.253,00;337,67;5.915,33; -   ;8,67;5.924,00
POSTO TESTE - Matriz;20/02/2019;1;GASOLINA COMUM;5.610,00;10.000,00;15.610,00;3.534,59;12.075,41; -   ;36,59;12.112,00;3;5.610,00;10.000,00;15.610,00;3.534,59;12.075,41; -   ;36,59;12.112,00
POSTO TESTE - Matriz;20/02/2019;2;GASOLINA ADITIVADA;5.345,00; -   ;5.345,00;1.175,15;4.169,85; -   ;13,15;4.183,00;1;5.345,00; -   ;5.345,00;1.175,15;4.169,85; -   ;13,15;4.183,00
POSTO TESTE - Matriz;20/02/2019;3;ETANOL COMUM;7.200,00; -   ;7.200,00;1.828,43;5.371,57;1,57; -   ;5.370,00;2;7.200,00; -   ;7.200,00;1.828,43;5.371,57;1,57; -   ;5.370,00
POSTO TESTE - Matriz;20/02/2019;782;DIESEL B S10 COMUM;5.924,00; -   ;5.924,00;572,67;5.351,33; -   ;4,67;5.356,00;6;5.924,00; -   ;5.924,00;572,67;5.351,33; -   ;4,67;5.356,00
POSTO TESTE - Matriz;21/02/2019;1;GASOLINA COMUM;12.112,00;5.000,00;17.112,00;3.447,38;13.664,62; -   ;2,38;13.667,00;3;12.112,00;5.000,00;17.112,00;3.447,38;13.664,62; -   ;2,38;13.667,00
POSTO TESTE - Matriz;21/02/2019;2;GASOLINA ADITIVADA;4.183,00;5.000,00;9.183,00;1.040,44;8.142,56; -   ;32,44;8.175,00;1;4.183,00;5.000,00;9.183,00;1.040,44;8.142,56; -   ;32,44;8.175,00
POSTO TESTE - Matriz;21/02/2019;3;ETANOL COMUM;5.370,00; -   ;5.370,00;1.899,97;3.470,03;14,03; -   ;3.456,00;2;5.370,00; -   ;5.370,00;1.899,97;3.470,03;14,03; -   ;3.456,00
POSTO TESTE - Matriz;21/02/2019;782;DIESEL B S10 COMUM;5.356,00; -   ;5.356,00;589,47;4.766,53;13,53; -   ;4.753,00;6;5.356,00; -   ;5.356,00;589,47;4.766,53;13,53; -   ;4.753,00
POSTO TESTE - Matriz;22/02/2019;1;GASOLINA COMUM;13.667,00; -   ;13.667,00;4.218,20;9.448,80;8,8; -   ;9.440,00;3;13.667,00; -   ;13.667,00;4.218,20;9.448,80;8,8; -   ;9.440,00
POSTO TESTE - Matriz;22/02/2019;2;GASOLINA ADITIVADA;8.175,00; -   ;8.175,00;1.368,05;6.806,95;37,95; -   ;6.769,00;1;8.175,00; -   ;8.175,00;1.368,05;6.806,95;37,95; -   ;6.769,00
POSTO TESTE - Matriz;22/02/2019;3;ETANOL COMUM;3.456,00; -   ;3.456,00;2.387,78;1.068,22;0,22; -   ;1.068,00;2;3.456,00; -   ;3.456,00;2.387,78;1.068,22;0,22; -   ;1.068,00
POSTO TESTE - Matriz;22/02/2019;782;DIESEL B S10 COMUM;4.753,00; -   ;4.753,00;651,66;4.101,34;7,34; -   ;4.094,00;6;4.753,00; -   ;4.753,00;651,66;4.101,34;7,34; -   ;4.094,00
POSTO TESTE - Matriz;23/02/2019;1;GASOLINA COMUM;9.440,00;5.000,00;14.440,00;3.360,31;11.079,69; -   ;10,31;11.090,00;3;9.440,00;5.000,00;14.440,00;3.360,31;11.079,69; -   ;10,31;11.090,00
POSTO TESTE - Matriz;23/02/2019;2;GASOLINA ADITIVADA;6.769,00; -   ;6.769,00;1.392,57;5.376,43; -   ;4,57;5.381,00;1;6.769,00; -   ;6.769,00;1.392,57;5.376,43; -   ;4,57;5.381,00
POSTO TESTE - Matriz;23/02/2019;3;ETANOL COMUM;1.068,00;5.000,00;6.069,00;2.712,25;3.356,75; -   ;1,25;3.358,00;2;1.068,00;5.000,00;6.069,00;2.712,25;3.356,75; -   ;1,25;3.358,00
POSTO TESTE - Matriz;23/02/2019;782;DIESEL B S10 COMUM;4.094,00; -   ;4.094,00;405,42;3.688,58;3,58; -   ;3.685,00;6;4.094,00; -   ;4.094,00;405,42;3.688,58;3,58; -   ;3.685,00
POSTO TESTE - Matriz;24/02/2019;1;GASOLINA COMUM;11.090,00; -   ;11.090,00;2.418,34;8.671,66;1,66; -   ;8.670,00;3;11.090,00; -   ;11.090,00;2.418,34;8.671,66;1,66; -   ;8.670,00
POSTO TESTE - Matriz;24/02/2019;2;GASOLINA ADITIVADA;5.381,00; -   ;5.381,00;569,79;4.811,21; -   ;18,79;4.830,00;1;5.381,00; -   ;5.381,00;569,79;4.811,21; -   ;18,79;4.830,00
POSTO TESTE - Matriz;24/02/2019;3;ETANOL COMUM;3.358,00; -   ;3.358,00;2.196,59;1.161,41; -   ;2,59;1.164,00;2;3.358,00; -   ;3.358,00;2.196,59;1.161,41; -   ;2,59;1.164,00
POSTO TESTE - Matriz;24/02/2019;782;DIESEL B S10 COMUM;3.685,00; -   ;3.685,00;293,95;3.391,05; -   ;13,95;3.405,00;6;3.685,00; -   ;3.685,00;293,95;3.391,05; -   ;13,95;3.405,00
POSTO TESTE - Matriz;25/02/2019;1;GASOLINA COMUM;8.670,00;5.000,00;13.670,00;3.349,58;10.320,42; -   ;27,58;10.348,00;3;8.670,00;5.000,00;13.670,00;3.349,58;10.320,42; -   ;27,58;10.348,00
POSTO TESTE - Matriz;25/02/2019;2;GASOLINA ADITIVADA;4.830,00; -   ;4.830,00;862,22;3.967,78; -   ;12,66;3.980,00;1;4.830,00; -   ;4.830,00;862,22;3.967,78; -   ;12,66;3.980,00
POSTO TESTE - Matriz;25/02/2019;3;ETANOL COMUM;1.164,00;5.000,00;6.164,00;1.523,05;4.640,95; -   ;19,05;4.660,00;2;1.164,00;5.000,00;6.164,00;1.523,05;4.640,95; -   ;19,05;4.660,00
POSTO TESTE - Matriz;25/02/2019;782;DIESEL B S10 COMUM;3.405,00; -   ;3.405,00;254,21;3.150,79; -   ;12,21;3.163,00;6;3.405,00; -   ;3.405,00;254,21;3.150,79; -   ;12,21;3.163,00
POSTO TESTE - Matriz;26/02/2019;1;GASOLINA COMUM;10.348,00; -   ;10.348,00;2.887,41;7.460,59;10,59; -   ;7.450,00;3;10.348,00; -   ;10.348,00;2.887,41;7.460,59;10,59; -   ;7.450,00
POSTO TESTE - Matriz;26/02/2019;2;GASOLINA ADITIVADA;3.980,00;5.000,00;8.980,00;1.109,65;7.870,35; -   ;19,65;7.890,00;1;3.980,00;5.000,00;8.980,00;1.109,65;7.870,35; -   ;19,65;7.890,00
POSTO TESTE - Matriz;26/02/2019;3;ETANOL COMUM;4.660,00;5.000,00;9.660,00;1.654,32;8.005,68; -   ;13,32;8.019,00;2;4.660,00;5.000,00;9.660,00;1.654,32;8.005,68; -   ;13,32;8.019,00
POSTO TESTE - Matriz;26/02/2019;782;DIESEL B S10 COMUM;3.163,00; -   ;3.163,00;584,54;2.578,46; -   ;1,54;2.580,00;6;3.163,00; -   ;3.163,00;584,54;2.578,46; -   ;1,54;2.580,00
POSTO TESTE - Matriz;27/02/2019;1;GASOLINA COMUM;7.450,00;10.000,00;17.450,00;3.428,00;14.022,00;69,001; -   ;13.953,00;3;7.450,00;10.000,00;17.450,00;3.428,00;14.022,00;69,001; -   ;13.953,00
POSTO TESTE - Matriz;27/02/2019;2;GASOLINA ADITIVADA;7.890,00; -   ;7.890,00;1.313,15;6.576,85; -   ;33,149;6.610,00;1;7.890,00; -   ;7.890,00;1.313,15;6.576,85; -   ;33,149;6.610,00
POSTO TESTE - Matriz;27/02/2019;3;ETANOL COMUM;8.019,00; -   ;8.019,00;1.529,25;6.489,75; -   ;10,249;6.500,00;2;8.019,00; -   ;8.019,00;1.529,25;6.489,75; -   ;10,249;6.500,00
POSTO TESTE - Matriz;27/02/2019;782;DIESEL B S10 COMUM;2.580,00; -   ;2.580,00;490,679;2.089,32; -   ;0,679;2.090,00;6;2.580,00; -   ;2.580,00;490,679;2.089,32; -   ;0,679;2.090,00
