Cód. Item; Estoque de Abertura ; Vol. Recebido ; Vol. Disponível ; Vol. Total das Saídas ; Estoque Escritural ; Vl. Perda ; Vl. Ganho ; Estoque de Fechamento ; [1310] Tanque ;Estoque de Abertura ; Vol. Recebido ; Vol. Disponível ; Vol. Total das Saídas ; Estoque Escritural ;  Vl. Perda ; Vl. Ganho ; Vol. Aferido 
2;4.250,00; -   ;4.250,00;900,24;3.349,76;4,76;;3.345,00;1;4.250,00; -   ;4.250,00;900,24;3.349,76;4,76; -   ;3.345,00
3;2.571,00;5.000,00;7.571,00;1.686,82;5.884,18;;33,82;5.918,00;2;2.571,00;5.000,00;7.571,00;1.686,82;5.884,18; -   ;33,82;5.918,00
782;6.628,00; -   ;6.628,00;388,84;6.239,16;10,16;;6.229,00;6;6.628,00; -   ;6.628,00;388,84;6.239,16;10,16; -   ;6.229,00
1;12.531,00; -   ;12.531,00;3.465,77;9.065,23;10,23;;9.055,00;3;12.531,00; -   ;12.531,00;3.465,77;9.065,23;10,23; -   ;9.055,00
2;3.345,00; -   ;3.345,00;420,66;2.924,34;5,34;;2.919,00;1;3.345,00; -   ;3.345,00;420,66;2.924,34;5,34; -   ;2.919,00
3;5.918,00; -   ;5.918,00;1.405,92;4.512,08;;20,92;4.533,00;2;5.918,00; -   ;5.918,00;1.405,92;4.512,08; -   ;20,92;4.533,00
782;6.229,00; -   ;6.229,00;208,9;6.020,10;7,1;;6.013,00;6;6.229,00; -   ;6.229,00;208,9;6.020,10;7,1; -   ;6.013,00
1;9.055,00;5.000,00;14.055,00;3.920,23;10.134,77;31,77;;10.103,00;3;9.055,00;5.000,00;14.055,00;3.920,23;10.134,77;31,77; -   ;10.103,00
2;2.919,00;5.000,00;7.919,00;1.069,77;6.849,23;;7,77;6.857,00;1;2.919,00;5.000,00;7.919,00;1.069,77;6.849,23; -   ;7,77;6.857,00
3;4.533,00;5.000,00;9.533,00;1.785,49;7.747,51;2,51;;7.745,00;2;4.533,00;5.000,00;9.533,00;1.785,49;7.747,51;2,51; -   ;7.745,00
782;6.013,00; -   ;6.013,00;479,11;5.533,89;9,89;;5.524,00;6;6.013,00; -   ;6.013,00;479,11;5.533,89;9,89; -   ;5.524,00
1;10.103,00; -   ;10.103,00;2.857,18;7.245,82;5,82;;7.240,00;3;10.103,00; -   ;10.103,00;2.857,18;7.245,82;5,82; -   ;7.240,00
2;6.857,00; -   ;6.857,00;916,11;5.940,89;22,89;;5.918,00;1;6.857,00; -   ;6.857,00;916,11;5.940,89;22,89; -   ;5.918,00
3;7.745,00; -   ;7.745,00;1.890,06;5.854,94;;10,06;5.865,00;2;7.745,00; -   ;7.745,00;1.890,06;5.854,94; -   ;10,06;5.865,00
782;5.524,00; -   ;5.524,00;418,42;5.105,58;12,58;;5.093,00;6;5.524,00; -   ;5.524,00;418,42;5.105,58;12,58; -   ;5.093,00
1;7.240,00;5.000,00;12.240,00;3.896,69;8.343,31;3,31;;8.340,00;3;7.240,00;5.000,00;12.240,00;3.896,69;8.343,31;3,31; -   ;8.340,00
2;5.918,00;5.000,00;10.918,00;1.247,58;9.670,42;;9,58;9.680,00;1;5.918,00;5.000,00;10.918,00;1.247,58;9.670,42; -   ;9,58;9.680,00
3;5.865,00; -   ;5.865,00;1.549,11;4.315,89;5,89;;4.310,00;2;5.865,00; -   ;5.865,00;1.549,11;4.315,89;5,89; -   ;4.310,00
782;5.093,00; -   ;5.093,00;512,52;4.580,48;;0,52;4.581,00;6;5.093,00; -   ;5.093,00;512,52;4.580,48; -   ;0,52;4.581,00
1;8.340,00;5.000,00;13.340,00;4.864,41;8.475,59;5,59;;8.470,00;3;8.340,00;5.000,00;13.340,00;4.864,41;8.475,59;5,59; -   ;8.470,00
2;9.680,00; -   ;9.680,00;909,65;8.770,35;10,35;;8.760,00;1;9.680,00; -   ;9.680,00;909,65;8.770,35;10,35; -   ;8.760,00
2;4.809,00;5.000,00;9.809,00;1.033,49;8.775,51;;0,49;8.776,00;1;4.809,00;5.000,00;9.809,00;1.033,49;8.775,51; -   ;0,49;8.776,00
